date,quiniela,period,position,result
2014-11-08,nacional,vespertina,5,6423
2014-11-08,nacional,vespertina,6,4947
2014-11-08,nacional,vespertina,7,1250
2014-11-08,nacional,vespertina,8,0167
2014-11-08,nacional,vespertina,9,5637
2014-11-08,nacional,vespertina,10,4939
2014-11-08,nacional,vespertina,11,8644
2014-11-08,nacional,vespertina,12,5978
2014-11-08,nacional,vespertina,13,1992
2014-11-08,nacional,vespertina,14,0598
2014-11-08,nacional,vespertina,15,0080
2014-11-08,nacional,vespertina,16,2634
2014-11-08,nacional,vespertina,17,3571
2014-11-08,nacional,vespertina,18,6157
2014-11-08,nacional,vespertina,19,5349
2014-11-08,nacional,vespertina,20,0644
2014-11-08,nacional,vespertina,Letras,KRYY 
2014-11-10,nacional,vespertina, 1,0049
2014-11-10,nacional,vespertina,2,0661
2014-11-10,nacional,vespertina,3,6938
2014-11-10,nacional,vespertina,4,4736
2014-11-10,nacional,vespertina,5,7495
2014-11-10,nacional,vespertina,6,7207
2014-11-10,nacional,vespertina,7,4669
2014-11-10,nacional,vespertina,8,8574
2014-11-10,nacional,vespertina,9,3455
2014-11-10,nacional,vespertina,10,1147
2014-11-10,nacional,vespertina,11,0086
2014-11-10,nacional,vespertina,12,7432
2014-11-10,nacional,vespertina,13,2575
2014-11-10,nacional,vespertina,14,0030
2014-11-10,nacional,vespertina,15,8398
2014-11-10,nacional,vespertina,16,8230
2014-11-10,nacional,vespertina,17,0448
2014-11-10,nacional,vespertina,18,0084
2014-11-10,nacional,vespertina,19,2032
2014-11-10,nacional,vespertina,20,0607
2014-11-10,nacional,vespertina,Letras,UDLY 
2014-11-11,nacional,vespertina, 1,1743
2014-11-11,nacional,vespertina,2,2680
2014-11-11,nacional,vespertina,3,5986
2014-11-11,nacional,vespertina,4,8240
2014-11-11,nacional,vespertina,5,6755
2014-11-11,nacional,vespertina,6,2608
2014-11-11,nacional,vespertina,7,7857
2014-11-11,nacional,vespertina,8,6977
2014-11-11,nacional,vespertina,9,8722
2014-11-11,nacional,vespertina,10,4112
2014-11-11,nacional,vespertina,11,3870
2014-11-11,nacional,vespertina,12,5149
2014-11-11,nacional,vespertina,13,6930
2014-11-11,nacional,vespertina,14,0282
2014-11-11,nacional,vespertina,15,1049
2014-11-11,nacional,vespertina,16,0579
2014-11-11,nacional,vespertina,17,4206
2014-11-11,nacional,vespertina,18,4131
2014-11-11,nacional,vespertina,19,8590
2014-11-11,nacional,vespertina,20,8972
2014-11-11,nacional,vespertina,Letras,ANPR 
2014-11-12,nacional,vespertina, 1,3813
2014-11-12,nacional,vespertina,2,2353
2014-11-12,nacional,vespertina,3,7616
2014-11-12,nacional,vespertina,4,4812
2014-11-12,nacional,vespertina,5,5155
2014-11-12,nacional,vespertina,6,2289
2014-11-12,nacional,vespertina,7,7459
2014-11-12,nacional,vespertina,8,7421
2014-11-12,nacional,vespertina,9,9363
2014-11-12,nacional,vespertina,10,3499
2014-11-12,nacional,vespertina,11,2032
2014-11-12,nacional,vespertina,12,6561
2014-11-12,nacional,vespertina,13,1810
2014-11-12,nacional,vespertina,14,6049
2014-11-12,nacional,vespertina,15,6923
2014-11-12,nacional,vespertina,16,8479
2014-11-12,nacional,vespertina,17,3779
2014-11-12,nacional,vespertina,18,2102
2014-11-12,nacional,vespertina,19,1596
2014-11-12,nacional,vespertina,20,2259
2014-11-12,nacional,vespertina,Letras,AIDN 
2014-11-13,nacional,vespertina, 1,5313
2014-11-13,nacional,vespertina,2,6053
2014-11-13,nacional,vespertina,3,7756
2014-11-13,nacional,vespertina,4,5939
2014-11-13,nacional,vespertina,5,9237
2014-11-13,nacional,vespertina,6,3722
2014-11-13,nacional,vespertina,7,9910
2014-11-13,nacional,vespertina,8,2423
2014-11-13,nacional,vespertina,9,0208
2014-11-13,nacional,vespertina,10,8435
2014-11-13,nacional,vespertina,11,1667
2014-11-13,nacional,vespertina,12,3546
2014-11-13,nacional,vespertina,13,5082
2014-11-13,nacional,vespertina,14,6822
2014-11-13,nacional,vespertina,15,4981
2014-11-13,nacional,vespertina,16,0818
2014-11-13,nacional,vespertina,17,8725
2014-11-13,nacional,vespertina,18,2470
2014-11-13,nacional,vespertina,19,7027
2014-11-13,nacional,vespertina,20,4833
2014-11-13,nacional,vespertina,Letras,NQVW 
2014-11-14,nacional,vespertina, 1,1777
2014-11-14,nacional,vespertina,2,1112
2014-11-14,nacional,vespertina,3,8948
2014-11-14,nacional,vespertina,4,5543
2014-11-14,nacional,vespertina,5,0616
2014-11-14,nacional,vespertina,6,4507
2014-11-14,nacional,vespertina,7,3951
2014-11-14,nacional,vespertina,8,5967
2014-11-14,nacional,vespertina,9,7932
2014-11-14,nacional,vespertina,10,2110
2014-11-14,nacional,vespertina,11,9792
2014-11-14,nacional,vespertina,12,0621
2014-11-14,nacional,vespertina,13,9858
2014-11-14,nacional,vespertina,14,5244
2014-11-14,nacional,vespertina,15,7627
2014-11-14,nacional,vespertina,16,8652
2014-11-14,nacional,vespertina,17,4479
2014-11-14,nacional,vespertina,18,0668
2014-11-14,nacional,vespertina,19,1252
2014-11-14,nacional,vespertina,20,3628
2014-11-14,nacional,vespertina,Letras,UBRW 
2014-11-15,nacional,vespertina, 1,9734
2014-11-15,nacional,vespertina,2,9760
2014-11-15,nacional,vespertina,3,2145
2014-11-15,nacional,vespertina,4,2055
2014-11-15,nacional,vespertina,5,7337
2014-11-15,nacional,vespertina,6,9343
2014-11-15,nacional,vespertina,7,0684
2014-11-15,nacional,vespertina,8,0603
2014-11-15,nacional,vespertina,9,9724
2014-11-15,nacional,vespertina,10,2740
2014-11-15,nacional,vespertina,11,0729
2014-11-15,nacional,vespertina,12,7343
2014-11-15,nacional,vespertina,13,6719
2014-11-15,nacional,vespertina,14,4085
2014-11-15,nacional,vespertina,15,1939
2014-11-15,nacional,vespertina,16,6321
2014-11-15,nacional,vespertina,17,6024
2014-11-15,nacional,vespertina,18,8044
2014-11-15,nacional,vespertina,19,7024
2014-11-15,nacional,vespertina,20,9564
2014-11-15,nacional,vespertina,Letras,KNPS 
2014-11-17,nacional,vespertina, 1,6611
2014-11-17,nacional,vespertina,2,0140
2014-11-17,nacional,vespertina,3,4062
2014-11-17,nacional,vespertina,4,7784
2014-11-17,nacional,vespertina,5,7270
2014-11-17,nacional,vespertina,6,3860
2014-11-17,nacional,vespertina,7,8463
2014-11-17,nacional,vespertina,8,5121
2014-11-17,nacional,vespertina,9,1614
2014-11-17,nacional,vespertina,10,3254
2014-11-17,nacional,vespertina,11,3492
2014-11-17,nacional,vespertina,12,4261
2014-11-17,nacional,vespertina,13,4081
2014-11-17,nacional,vespertina,14,6388
2014-11-17,nacional,vespertina,15,9453
2014-11-17,nacional,vespertina,16,3321
2014-11-17,nacional,vespertina,17,4308
2014-11-17,nacional,vespertina,18,4757
2014-11-17,nacional,vespertina,19,0339
2014-11-17,nacional,vespertina,20,0944
2014-11-17,nacional,vespertina,Letras,UJQT 
2014-11-18,nacional,vespertina, 1,3981
2014-11-18,nacional,vespertina,2,1576
2014-11-18,nacional,vespertina,3,8224
2014-11-18,nacional,vespertina,4,3380
2014-11-18,nacional,vespertina,5,7786
2014-11-18,nacional,vespertina,6,1613
2014-11-18,nacional,vespertina,7,2648
2014-11-18,nacional,vespertina,8,1789
2014-11-18,nacional,vespertina,9,8361
2014-11-18,nacional,vespertina,10,5611
2014-11-18,nacional,vespertina,11,4701
2014-11-18,nacional,vespertina,12,4701
2014-11-18,nacional,vespertina,13,4930
2014-11-18,nacional,vespertina,14,9869
2014-11-18,nacional,vespertina,15,3548
2014-11-18,nacional,vespertina,16,8060
2014-11-18,nacional,vespertina,17,1350
2014-11-18,nacional,vespertina,18,4832
2014-11-18,nacional,vespertina,19,1662
2014-11-18,nacional,vespertina,20,7326
2014-11-18,nacional,vespertina,Letras,FPQV 
2014-11-19,nacional,vespertina, 1,8850
2014-11-19,nacional,vespertina,2,7713
2014-11-19,nacional,vespertina,3,0766
2014-11-19,nacional,vespertina,4,7829
2014-11-19,nacional,vespertina,5,7142
2014-11-19,nacional,vespertina,6,9925
2014-11-19,nacional,vespertina,7,3435
2014-11-19,nacional,vespertina,8,5130
2014-11-19,nacional,vespertina,9,4958
2014-11-19,nacional,vespertina,10,5512
2014-11-19,nacional,vespertina,11,4713
2014-11-19,nacional,vespertina,12,7417
2014-11-19,nacional,vespertina,13,3805
2014-11-19,nacional,vespertina,14,8799
2014-11-19,nacional,vespertina,15,9144
2014-11-19,nacional,vespertina,16,3031
2014-11-19,nacional,vespertina,17,5936
2014-11-19,nacional,vespertina,18,9064
2014-11-19,nacional,vespertina,19,8362
2014-11-19,nacional,vespertina,20,3107
2014-11-19,nacional,vespertina,Letras,AHKP 
2014-11-20,nacional,vespertina, 1,3993
2014-11-20,nacional,vespertina,2,7665
2014-11-20,nacional,vespertina,3,5280
2014-11-20,nacional,vespertina,4,5007
2014-11-20,nacional,vespertina,5,3796
2014-11-20,nacional,vespertina,6,4601
2014-11-20,nacional,vespertina,7,3096
2014-11-20,nacional,vespertina,8,0262
2014-11-20,nacional,vespertina,9,1022
2014-11-20,nacional,vespertina,10,9427
2014-11-20,nacional,vespertina,11,4631
2014-11-20,nacional,vespertina,12,3577
2014-11-20,nacional,vespertina,13,0089
2014-11-20,nacional,vespertina,14,4869
2014-11-20,nacional,vespertina,15,5360
2014-11-20,nacional,vespertina,16,2415
2014-11-20,nacional,vespertina,17,9949
2014-11-20,nacional,vespertina,18,2719
2014-11-20,nacional,vespertina,19,1030
2014-11-20,nacional,vespertina,20,7563
2014-11-20,nacional,vespertina,Letras,AHKY 
2014-11-21,nacional,vespertina, 1,9012
2014-11-21,nacional,vespertina,2,2074
2014-11-21,nacional,vespertina,3,4224
2014-11-21,nacional,vespertina,4,6636
2014-11-21,nacional,vespertina,5,1968
2014-11-21,nacional,vespertina,6,3982
2014-11-21,nacional,vespertina,7,2639
2014-11-21,nacional,vespertina,8,1416
2014-11-21,nacional,vespertina,9,4969
2014-11-21,nacional,vespertina,10,8825
2014-11-21,nacional,vespertina,11,4690
2014-11-21,nacional,vespertina,12,5913
2014-11-21,nacional,vespertina,13,6373
2014-11-21,nacional,vespertina,14,1441
2014-11-21,nacional,vespertina,15,0291
2014-11-21,nacional,vespertina,16,0290
2014-11-21,nacional,vespertina,17,0983
2014-11-21,nacional,vespertina,18,9865
2014-11-21,nacional,vespertina,19,0011
2014-11-21,nacional,vespertina,20,1273
2014-11-21,nacional,vespertina,Letras,OSVY 
2014-11-22,nacional,vespertina, 1,5335
2014-11-22,nacional,vespertina,2,1370
2014-11-22,nacional,vespertina,3,5210
2014-11-22,nacional,vespertina,4,0675
2014-11-22,nacional,vespertina,5,0561
2014-11-22,nacional,vespertina,6,4175
2014-11-22,nacional,vespertina,7,0444
2014-11-22,nacional,vespertina,8,6546
2014-11-22,nacional,vespertina,9,9020
2014-11-22,nacional,vespertina,10,9579
2014-11-22,nacional,vespertina,11,2294
2014-11-22,nacional,vespertina,12,1220
2014-11-22,nacional,vespertina,13,3284
2014-11-22,nacional,vespertina,14,3562
2014-11-22,nacional,vespertina,15,6867
2014-11-22,nacional,vespertina,16,8284
2014-11-22,nacional,vespertina,17,3126
2014-11-22,nacional,vespertina,18,3916
2014-11-22,nacional,vespertina,19,9336
2014-11-22,nacional,vespertina,20,1350
2014-11-22,nacional,vespertina,Letras,UJPX 
2014-11-25,nacional,vespertina, 1,5820
2014-11-25,nacional,vespertina,2,8857
2014-11-25,nacional,vespertina,3,4216
2014-11-25,nacional,vespertina,4,3276
2014-11-25,nacional,vespertina,5,2051
2014-11-25,nacional,vespertina,6,6658
2014-11-25,nacional,vespertina,7,3335
2014-11-25,nacional,vespertina,8,2493
2014-11-25,nacional,vespertina,9,9458
2014-11-25,nacional,vespertina,10,9622
2014-11-25,nacional,vespertina,11,5042
2014-11-25,nacional,vespertina,12,5360
2014-11-25,nacional,vespertina,13,8905
2014-11-25,nacional,vespertina,14,0814
2014-11-25,nacional,vespertina,15,2179
2014-11-25,nacional,vespertina,16,7262
2014-11-25,nacional,vespertina,17,1651
2014-11-25,nacional,vespertina,18,4951
2014-11-25,nacional,vespertina,19,5330
2014-11-25,nacional,vespertina,20,7303
2014-11-25,nacional,vespertina,Letras,JMWW 
2014-11-26,nacional,vespertina, 1,0029
2014-11-26,nacional,vespertina,2,9233
2014-11-26,nacional,vespertina,3,7093
2014-11-26,nacional,vespertina,4,1989
2014-11-26,nacional,vespertina,5,4203
2014-11-26,nacional,vespertina,6,9914
2014-11-26,nacional,vespertina,7,7337
2014-11-26,nacional,vespertina,8,8439
2014-11-26,nacional,vespertina,9,3417
2014-11-26,nacional,vespertina,10,7297
